id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
481,restaurant,osm-node-729406479,Ca Phe May Chieu,Da Nang,16.0344483,108.2238466,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406479
482,restaurant,osm-node-729406480,Ca Phe Vuon Noi,Da Nang,16.0478859,108.1814933,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406480
486,restaurant,osm-node-729406485,Cafe Yen Nhi,Da Nang,16.0209679,108.2120651,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406485
490,restaurant,osm-node-729406490,74Coffee,Da Nang,16.0721044,108.1787467,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406490
495,restaurant,osm-node-729406496,Cafe Giai Khat 310,Da Nang,16.0665269,108.2069313,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406496
498,restaurant,osm-node-729406500,Ca Phe Thanh Huyen,Da Nang,16.0687947,108.1668088,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406500
500,restaurant,osm-node-729406502,Ca Phe Phuong Nam,Da Nang,16.0535155,108.1693858,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406502
506,restaurant,osm-node-729406508,Cafe Manila,Da Nang,16.068639,108.1504425,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406508
510,restaurant,osm-node-729406512,BaoNgoc Coffee,Da Nang,16.0993814,108.1356382,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406512
515,restaurant,osm-node-729406518,Ca Phe Ly Thong,Da Nang,16.0515208,108.1700258,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406518
517,restaurant,osm-node-729406520,Ca Phe Phuong Linh,Da Nang,16.0567117,108.1779206,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406520
520,restaurant,osm-node-729406524,Cafe Thien Thanh,Da Nang,16.1113228,108.1296022,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406524
523,restaurant,osm-node-729406528,Ca Phe Thanh Tuan,Da Nang,16.0516806,108.1699776,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406528
529,restaurant,osm-node-729406534,BarCa Phe Quynh Anh,Da Nang,16.0697796,108.2173544,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406534
531,restaurant,osm-node-729406536,Cafe Matrix,Da Nang,16.0689122,108.1511345,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406536
533,restaurant,osm-node-729406538,Cafe Tay Son,Da Nang,16.068661,108.2087874,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406538
545,restaurant,osm-node-729406550,Ca Phe Giai Khat Thanh Van,Da Nang,16.0546458,108.2399741,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406550
548,restaurant,osm-node-729406553,BaoTran Coffee,Da Nang,16.0948767,108.2443642,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406553
